Emotion_value,Text_data
joy,On days I feel close partner friends When I feel peace also experience close contact people I regard greatly
fear,Every time I imagine someone I love I could contact serious illness even death
anger,When I obviously unjustly treated possibility elucidating
sadness,When I think short time live relate periods life I think I use short time
joy,After girlfriend taken exam went parents place
fear,When first time I realized meaning death
anger,When car overtaking another I forced drive road
sadness,When I recently thought hard work takes study one wants try something else When I read theoretical book English I understand
joy,When I pass examination I think I well
fear,When one arranged meet someone person arrives late meantime one starts thinking could gone wrong eg traffic accident
anger,When one unjustly accused something one done
sadness,When ones studies seem hopelessly difficult uninteresting
joy,Passing exam I expect pass
fear,When I climbed tree pick apples The angle ladder I enable get high enough This implied ladder stable
anger,Friends torture animals
sadness,Same anger
joy,When I children
anger,When partner attacked lost three teeth
sadness,When I see children TV areas devastated drought war
joy,When child born
anger,Unjust accusations directed way acting someone close
sadness,Failing examination
joy,When I saw person I seen long time
fear,When child I nearly knocked car
anger,When I heard radio football match Belgium ended catastrophe several people died I could understand normal people could behave way
sadness,When I feel lonely perhaps I study lot I shut appartment Nothing happens particular time anything else
joy,When I accepted course finance accounting
fear,A bus drove right leg The event frightening I wait emergency ward three hours leg began swell I frightened
anger,At Summer job nobody looked particular I learn
sadness,When I accepted student finance accounting
joy,Passed exam points
fear,In cottage large forest I alone dark
sadness,Railway station goodbye
joy,I passed exam I absolutely certain I failed
fear,On way back Denmark friend small yatch storm friend blown overboard I scared till I managed get back onboard
anger,I locked
sadness,I missed last tram home walk pouring rain
joy,When I trip Greece competition
fear,When I dark suspicious looking character comes towards
anger,At work elderly man complained unjustifiably distrusted
sadness,When I understood anything lecture
joy,At friends birthday party closest friends It pleasant one could say I happy good friends
anger,Mad dad
sadness,A case unrequited love
joy,I felt happy I football pools
fear,When I flew Athens Copenhagen holiday The plane caught storm began shake I thouhght going crash
anger,When someone stole bike
sadness,When I saw list books read acccouting course I thought Oh God I ever manaage
joy,When whole family gets together one week holiday Everybody feels free trip well planned It works well enjoy
fear,When I could find year old daughter I ran looked everywhere could find I finally found gone bed sleep
anger,When friends try put hurt
sadness,Marriage crises Boredom
joy,When I passed first examination I repeat
anger,When boyfriend went away month long holiday without
sadness,Last year I worked Summer holidays studied time examination I repeat boyfriend went Greece holiday month
joy,The day I told I accepted student economics
fear,While taking short cut Vasa park I surrounded three people tried steal money I scared saved appearance people
anger,At restaurant I observed gypsies tried get money cheating foreigners ie non Swedish speaking My anger nothing hatred foreigners expression anger I feel I see people used
sadness,At begining new course one afraid encountering problems one manage Thoughts revolve around failing subject consequences would future
joy,When I found I passed last two exams margin three marks
fear,When father ill waiting results tests
anger,When I got caught pouring rain last Thursday raincoat
sadness,When I failed exam
joy,When I gave birth son saw alive I managed well He born month early malfunctioning lung This happened year ago
fear,When I found father lung cancer know long would live
anger,When colleague asked help work despite fact time I
sadness,When I get salary increase I expecting understood little ones work appreciated
joy,New years eve I met girlfriend We stood steps outside parents home I kissed first time
fear,When I stopped plain clothes policemen car I driving overturned Avenue I driving fast I afraid I stopped questionned toild go The situation ended happily since consequences
anger,The editor changed heading article I written He considered heading derogatory towards person I written
sadness,A close acquaintance family died lung cancer Although expected I still felt depressed
joy,When I got loan studies
fear,I met intoxicated people dubious intentions back alley one Wednesday night
anger,On TV I saw news feature South Africa A policeman attacked group black people whip
sadness,The thought read boring book pages English
fear,When sister still born child emotionally deep took long time recover
anger,We starting student project teacher talked negative helpful
sadness,When boyfriend openly let preferring another girl
joy,Unexpected visit close friend I seen half year
fear,I wandered mistake safety zone shooting range shot
anger,Being treated unfairly
sadness,Breaking girl
joy,When I accepted student college thought possible
fear,When I first arrive scene accident found close school friend killed
anger,I accused done something I got angry
sadness,When grandmother died
joy,A couple years ago summer holiday I fishing lake husband Suddenly started raining sun still shining I experienced feeling joy happiness fulfillment whole nature full music
fear,I alone home bed reading womens magazine storiees paranormal experiences My leg itching I stretched hand scratch I felt another strange hand later I realized corner blanket
anger,I went lecture cancelled second time One negative attitude towards lecturer
sadness,I heard former superior mine died I later home home reading newspaper I thought interaction longer possible The limited scope human life sad
joy,I summer job Sweden boyfriend came meet birthday
fear,I went practice Sweden summer I afraid I would well
anger,In holiday cottage association two pals came wake early one morning bringing radio played highest volume room morning service loudest
sadness,My grandmother died suddenly last summer
fear,Our tutorial group soon divided got list names freshmen five group We read names group went way seminar room I wondered I would cope new situation I would succeed group leader
anger,We disco evening pleasant Despite knowing I angry companion I let feel bad humour I hide feelings
sadness,My grandmother died mother called one sunday morning Autumn The way mother told I hated moment She sounded waiting death grandmother I lost person close I felt guilty I bad grandmother late I remained calm longer understood everything well
joy,Last night I chat fellow student I known half year first time speaking language meaning inspiring discussion encounter
anger,I sometimes quarrel mother blames though I way connected events
sadness,After hearing death grandfather First I could believe later I wept felt situation hopeless I felt lonely wanted consolated
joy,I met dear friend mine long time I expressed feelings usual way mutual scolding abusing complete understanding touching patting taking hand person etc
fear,I felt fear purest kind car accident The incident images horror kept coming back mind I wondered could happened sister friend though nothing serious actually happened
anger,Two boys I know telling indecent manner teased young shy girl I know They despised conviction scorned touched I got angry try conceal gave back
joy,When I tennis match
fear,When dog ran thin ice last spring
anger,When tennis match interrupted kid cycled right court
sadness,No response
joy,Celebrations graduation day orchestra playing garden I part orchestra
fear,Risk involved fight party
anger,I heavy work load two colleagues I nothing disturbed terror ringing ie continously interrupting telephoning
sadness,After exam I failed
joy,When I met old schhol friend school love works Skvde
fear,When I cycling school I nearly got knocked car overtook closely give swerving space
anger,When I deputy manager Summer certain deputies took liberties normal
sadness,When I realized girlfriend I like I going separate
joy,Passed last exam
fear,Was nearly knocked car
anger,I reached bus stop realized I forgotten bus pass
sadness,My current work load much The feeling comes back time time
joy,When one year old son gives spontaneous kiss
fear,When someone close travelling car delayed
anger,When someone something wrong affects negatively
sadness,When I think parents getting old
joy,An excolleague asked I interested working accounts bureau They needed clever people immediately thought
fear,I driving deer suddenly appeared front car lot traffic behind
anger,I saw report TV news apartheid South Africa
joy,When girlfriend became pregnant
fear,When I nearly collided another car
anger,The time someone let air tyres cycle
sadness,When I read lot remember anything
sadness,Long illness
joy,When I passed exam
fear,When I travelling tram I tripped fell door I thought I going fall
anger,When I missed tram run
sadness,The inability read book college
joy,I worked lawyers office Summer I got good reference
fear,I watching triller dark night country I go outside toilet
anger,When I accused something I done I get unbelievably angry
sadness,When I began read thick book I limited time read Also I lot work I keep
joy,When I finally qualified profession
fear,Someone attacked knife
anger,Someone drove car denied happened
sadness,When I told friends wife cancer
joy,I stopped working boring job
fear,I going home car late one night cold dark windy I became rather panicky way house
anger,Quarrel family
sadness,When I alone room contact anyone loneliness drains
joy,When I get hug someone I love
fear,I driving fast small road I met oncoming car right handed bend The driver side road I skid avoid collision It dark
anger,My car towed away traffic police wrongly parked However sign put I already parked
sadness,After operation I stay bed long time
joy,When I unexpected sum money
fear,My year old daughter disappeared moment inattention I responsible
anger,A colleague asked advice enough confidence asked third person
sadness,I wanted pregnant succeed I depressed every menstruation
joy,When I party I met old friend adult education course We met years thought lot A wonderful experience
fear,When I cycling park late one night two people jumped woods tried stop There shouting something time
anger,When close relatives tried dissuade studying Psychology low status
sadness,I long discussion politics acquaintance He knowledgeable I failed explain point view misunderstood I felt depressed left
fear,When I saw large spider crawling wall
anger,My employer took many aspirins bad back also drank enormous amount spirit This dangerous understand done anything wrong
sadness,When I left New York family friends behind
joy,When son returned mountaineering healthy body soul
fear,When one meets new people one forced collaborate
anger,The sports fishermen catch gulls instead fish hooks It often mistake makes angry
